cluster,gene,logFC,pvalue
cluster_1,TP53,2.3,0.001
cluster_1,BRCA1,-1.8,0.002
cluster_1,ATM,1.5,0.003
cluster_1,CHEK2,1.9,0.004
cluster_1,MDM2,2.1,0.005
cluster_1,BAX,1.6,0.008
cluster_1,BCL2,-1.2,0.012
cluster_1,CDKN1A,2.5,0.002
cluster_2,CD4,2.8,0.0001
cluster_2,CD8A,2.5,0.0002
cluster_2,IL2,3.2,0.0003
cluster_2,IFNG,2.9,0.0005
cluster_2,TNF,2.1,0.001
cluster_2,CD3E,1.8,0.002
cluster_2,LCK,1.5,0.004
cluster_2,JAK1,1.2,0.008
cluster_3,EGFR,2.6,0.0001
cluster_3,KRAS,2.2,0.0003
cluster_3,BRAF,1.9,0.001
cluster_3,MYC,3.1,0.0002
cluster_3,PIK3CA,1.7,0.003
cluster_3,AKT1,1.4,0.005
cluster_3,MTOR,1.3,0.007
cluster_3,CCND1,2.0,0.002
